,Country,Sub-national region,latitude,longitude,MPI_Region,PercPoverty,popDensity,precipitation,TimeToCity,Temperature
759,Nigeria,Sokoto,13.0058731,5.2475518,0.548,85.3,2459.3515625,764.0,4.0,38.0
760,Nigeria,Taraba,8.0054917,10.2600125,0.448,77.7,37.1516647338867,1365.0,170.0,29.0
761,Nigeria,Yobe,12.1871412,11.7068294,0.635,90.2,20.8333339691162,668.0,99.0,37.0
762,Nigeria,Zamfara,12.1844159,6.2375947,0.605,91.9,41.0,1062.0,148.0,35.0
763,Pakistan,Balochistan,28.4907332,65.0957792,0.402,70.6,4.33333349227905,67.0,432.0,41.0
764,Pakistan,Gilgit Baltistan,35.8025667,74.9831808,0.233,46.9,71.1666641235352,360.5,1498.0,-1.0
765,Pakistan,Islamabad (ICT),33.6844202,73.0478848,0.039,9.2,861.253356933594,956.0,14.0,28.0
766,Pakistan,Khyber Pakhtunkhwa,34.9526205,72.331113,0.247,50.1,220.83332824707,912.5,448.0,23.0
767,Pakistan,Punjab,31.1704063,72.7097161,0.184,36.6,583.643310546875,348.5,5.0,30.0
768,Pakistan,Sindh,25.8943018,68.5247149,0.294,53.2,253.575012207031,230.5,69.0,31.0
769,Peru,Amazonas,-5.115146,-78.1108279,0.096,22.9,4.04166650772095,1679.0,1959.0,22.0
770,Peru,Apurímac,-14.0504533,-73.087749,0.091,23.1,15.9016666412354,781.5,1002.0,21.0
771,Peru,Arequipa,-16.4090474,-71.537451,0.009,2.3,4040.05346679688,104.0,2.0,32.0
772,Peru,Ayacucho,-13.1638737,-74.2235641,0.071,17.5,794.530029296875,594.5,2.0,28.0
773,Peru,Cajamarca,-7.1617465,-78.5127855,0.089,21.7,348.385009765625,631.5,0.0,28.0
774,Peru,Callao,-12.0508491,-77.1259843,0.0,0.0,3677.29174804688,12.5,33.0,27.0
775,Peru,Cusco,-13.53195,-71.9674626,0.062,15.8,2017.52001953125,682.5,2.0,26.0
776,Peru,Huancavelica,-12.7861978,-74.9764024,0.122,30.2,42.6666679382324,616.0,103.0,24.0
777,Peru,Huánuco,-9.9298454,-76.2432653,0.111,26.6,578.836669921875,612.5,4.0,31.0
778,Peru,Ica,-14.07546,-75.7341811,0.009,2.6,733.989990234375,22.0,4.0,38.0
779,Peru,Junín,-11.335798,-75.3412179,0.042,10.1,2.97666668891907,1225.0,444.0,20.0
780,Peru,La Libertad,-8.1435933,-78.4751945,0.042,10.0,79.5166702270508,435.0,302.0,31.0
